LGE|LG-H955|5.1.1
Sony|E6833|6.0
samsung|SM-G930F|6.0.1
samsung|SM-J200BT|5.1.1
samsung|SM-A300H|5.0.2
LGE|LGLS675|5.1.1
samsung|SM-N910V|5.1.1
HTC|HTC_M8x|6.0
Sony|E6853|6.0
motorola|XT1095|6.0
samsung|SHV-E330S|5.0.1
HTC|HTC One M8s|5.0.2
samsung|SAMSUNG-SM-G890A|5.1.1
Sony|E2303|5.0
samsung|SPH-L710T ro.product.name=dtltespr ro.product.device=dtltespr|6.0.1
LGE|VS990|6.0
samsung|SAMSUNG-SM-G870A|5.1.1
samsung|SM-A310F|5.1.1
Sony|E6603|6.0
samsung|SM-J200M|5.1.1
samsung|SM-T815|5.0.2
samsung|SAMSUNG-SM-N915A|5.1.1
samsung|SAMSUNG-SM-J120AZ|6.0.1
HTC|HTC Desire 816|6.0
LGE|LG-H525n|6.0
samsung|SAMSUNG-SM-G935A|6.0.1
LGE|LG-H420|5.0.1
LGE|LGLS992|6.0.1
motorola|XT1092|6.0
samsung|SM-T800|6.0.1
samsung|SM-P905V|5.1.1
samsung|SM-N920V|6.0.1
samsung|GT-I9500|5.1.1
LGE|LG-D850|5.5
motorola|XT1580|6.0
Sony|Xperia SP|6.0.1
HTC|HTCD200LVWPP|5.1
motorola|XT1022|5.1
LGE|LG-D852|6.0
LGE|Nexus 4|6.0.1
samsung|SM-G928F|6.0.1
samsung|SM-A510F|5.1.1
Sony|E6653|6.0
samsung|SM-J105B|5.1.1
LGE|LG-X150|5.0.2
samsung|SM-G920K|6.0.1
motorola|XT1575|6.0
motorola|XT1565|5.1.1
samsung|SM-N900T|6.0.1
samsung|GT-I9300I|5.1.1
LGE|LG-H631|6.0
motorola|XT1563|6.0.1
samsung|SM-G920R4|6.0.1
LGE|LG-F400L|6.0
LGE|LG-H736|6.0
samsung|SM-T805M|5.0.2
samsung|SM-G920T|6.0.1
LGE|LG-F400L|5.0
samsung|SM-G9350|6.0.1
LGE|VS986|6.0
HTC|HTC_M9e|5.0.2
samsung|GT-I9195|6.0.1
HTC|HTC One|5.1
HTC|HTC_D820f|5.0.2
samsung|SM-G9250|6.0.1
samsung|SM-G920I|6.0.1
samsung|SM-G920L|6.0.1
Sony|E5823|6.0
samsung|SAMSUNG-SGH-I747|6.0.1
LGE|LG-E980|5.1.1
samsung|SM-T377P|5.1.1
motorola|Xoom Wifi|5.1.1
samsung|SCH-I545PP|5.0.1
LGE|LG-F500S|6.0
samsung|SM-T330|5.1.1
LGE|LGL21G|5.0.1
LGE|LG-F500L|6.0
samsung|SM-N910P|6.0.1
HTC|HTC 0PGQ1|5.1
motorola|MotoE2|5.1
HTC|HTC_0P3P5|5.0.2
HTC|HTC_M9u|6.0
LGE|LG-H850|6.0.1
LGE|LG-D857|5.0.1
Sony|E5803|6.0
LGE|LG-H960|6.0
LGE|LG-H811|6.0
samsung|SM-G550T|6.0.1
LGE|LG-H830|6.0.1
LGE|LG-K430|6.0
LGE|LG-K350|6.0
samsung|SM-J500G|5.1.1
asus|ASUS_Z00UD|6.0.1
Sony|E5306|5.1
samsung|SM-G7202|5.1.1
LGE|LG-D620|6.0.1
asus|K007|5.0.1
LGE|LG-V496|5.0.2
samsung|SM-G850M|5.0.2
LGE|LG-F460S|6.0
samsung|SM-A710K|5.1.1
LGE|LGL62VL|5.1.1
motorola|XT1063|6.0
Sony|SOV32|5.1.1
samsung|SM-N920P|6.0.1
samsung|SM-J5108|5.1.1
Sony|C2305|5.1
Sony|SO-05G|5.0.2
LGE|LG-D331|5.0.2
samsung|SM-J320M|5.1.1
Sony|E5643|5.1
motorola|Moto G (4)|6.0.1
Sony|D6503|6.0.1
samsung|SM-N920T|6.0.1
samsung|SM-A700K|5.0.2
samsung|SM-N915FY|6.0.1
HTC|HTL23|5.0.2
LGE|LG-D851|6.0
HTC|HTC 10|6.0.1
samsung|SM-G9198|5.1.1
samsung|SM-G920P|6.0.1
LGE|LG-H740|5.1.1
samsung|SM-T705M|5.0.2
samsung|SM-G900V|6.0.1
asus|ASUS_Z00VD|5.1
samsung|SM-N910H|5.1.1
Sony|Xperia Z3 Dual|5.1.1
Sony|D6653|6.0.1
motorola|XT1064|6.0
Sony|E5343|5.1
samsung|GT-N5110|6.0.1
LGE|LG-D724|6.0.1
samsung|SM-N915G|6.0.1
samsung|SM-G920T1|6.0.1
samsung|SM-G928P|6.0.1
samsung|SM-J320P|5.1.1
samsung|SM-N910W8|6.0.1
samsung|SM-G360BT|5.0.2
samsung|SAMSUNG-SM-G920A|6.0.1
Sony|D2114|6.0
motorola|XT1034|5.1
